PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,LATITUDE,LONGITUDE
Single Family Residential,5556 Sugar Maple Run,Liberty Twp,OH,45011,368900,4,3.5,Liberty Twp.,4219,10250,2005,64,87,48,Active,,,http://www.redfin.com/OH/Liberty-Township/5556-Sugar-Maple-Run-45011/home/93237002,39.4139366,-84.4439119
Single Family Residential,2640 Hamilton Mason Rd,Fairfield Twp,OH,45011,120000,3,2,Fairfield Twp.,1395,11892,1949,65,86,,Active,,,http://www.redfin.com/OH/Hamilton/2640-Hamilton-Mason-Rd-45011/home/75568345,39.3811589,-84.5334614
Single Family Residential,5325 Stony Run Ct,Liberty Twp,OH,45011,949000,6,5.5,Liberty Twp.,,32478,2017,65,,85,Active,,,http://www.redfin.com/OH/Liberty-Township/5325-Stony-Run-Ct-45011/home/113610002,39.398801,-84.441602
Single Family Residential,4732 Osprey Pointe Dr,Liberty Twp,OH,45011,349900,4,2.5,Liberty Twp.,,13739,,65,,33,Active,,,http://www.redfin.com/OH/Liberty-Township/4732-Osprey-Pointe-Dr-45011/home/78961653,39.4142418,-84.459197
Single Family Residential,495 Northlake Ct Unit CH495,Liberty Twp,OH,45011,624400,4,3.5,Liberty Twp.,3053,19759,,66,205,85,Active,,,http://www.redfin.com/OH/Liberty-Twp/495-Northlake-CT-45011/unit-CH495/home/166772514,39.403252,-84.448677
Single Family Residential,7041 Valley Falls Ct,Liberty Twp,OH,45011,425000,4,3.5,Liberty Twp.,3218,16988,1994,66,132,14,Active,,,http://www.redfin.com/OH/Liberty-Township/7041-Valley-Falls-Ct-45011/home/75570985,39.3772966,-84.448813
Townhouse,9545 High Line Pl,West Chester,OH,45011,221900,3,2.5,West West Chester,,,,67,,100,Active,,,http://www.redfin.com/OH/West-Chester-Township/9545-High-Line-Pl-45011/home/166756720,39.318176,-84.457589
Single Family Residential,117 Fox Ave,New Miami,OH,45011,57900,2,1,St. Clair Twp.,756,,1900,67,77,,Active,,,http://www.redfin.com/OH/Hamilton/117-Fox-Ave-45011/home/100682888,39.437287,-84.536543
Single Family Residential,4212 Stone Meadow Dr,Liberty Twp,OH,45011,226000,5,2,Liberty Twp.,1832,22002,1973,70,123,,Active,,,http://www.redfin.com/OH/Liberty-Township/4212-Stone-Meadow-Dr-45011/home/78825108,39.3919648,-84.4771043
Single Family Residential,17 Watoga Dr Unit SR-17,Liberty Twp,OH,45011,430900,4,3,Liberty Twp.,2985,16727,,70,144,54,Active,,,http://www.redfin.com/OH/Liberty-Township/17-Watoga-Dr-45011/unit-SR-17/home/166735317,39.414391,-84.429138
Single Family Residential,6321 Chablis Dr,Liberty Twp,OH,45011,244900,4,2.5,Liberty Twp.,2016,28314,1979,70,121,,Active,,,http://www.redfin.com/OH/Liberty-Township/6321-Chablis-Dr-45011/home/78768545,39.3962587,-84.4727385
Single Family Residential,143 Linda Ln,Hamilton,OH,45011,185900,3,2,Hamilton East,,,,72,,4,Active,,,http://www.redfin.com/OH/Hamilton/143-Linda-Ln-45011/home/144719963,39.391501,-84.5404329
Vacant Land,1899 Kahn Ave,Hamilton,OH,45011,26900,,,Hamilton East,,3877,,72,,,Active,,,http://www.redfin.com/OH/Hamilton/1899-Kahn-Ave-45011/home/100693296,39.3767115,-84.544323
Single Family Residential,1849 Parkamo Ave,Hamilton,OH,45011,54000,1,1,Hamilton East,596,,1944,73,91,,Active,,,http://www.redfin.com/OH/Hamilton/1849-Parkamo-Ave-45011/home/100693198,39.3771665,-84.5407889
